nearest_station_id,nearest_station_name,Date,Time,Vehiculos,Time_single,Datetime
6,PS 274,03/11/2018,10:00-11:00AM,577,11:00:00,2018-03-11 11:00:00
6,PS 274,03/12/2018,10:00-11:00AM,778,11:00:00,2018-03-12 11:00:00
6,PS 274,03/13/2018,10:00-11:00AM,714,11:00:00,2018-03-13 11:00:00
6,PS 274,03/14/2018,10:00-11:00AM,793,11:00:00,2018-03-14 11:00:00
6,PS 274,03/15/2018,10:00-11:00AM,740,11:00:00,2018-03-15 11:00:00
6,PS 274,04/07/2018,10:00-11:00AM,1848,11:00:00,2018-04-07 11:00:00
6,PS 274,04/08/2018,10:00-11:00AM,1620,11:00:00,2018-04-08 11:00:00
6,PS 274,04/09/2018,10:00-11:00AM,1984,11:00:00,2018-04-09 11:00:00
6,PS 274,04/10/2018,10:00-11:00AM,1923,11:00:00,2018-04-10 11:00:00
6,PS 274,04/11/2018,10:00-11:00AM,1928,11:00:00,2018-04-11 11:00:00
6,PS 274,04/12/2018,10:00-11:00AM,1902,11:00:00,2018-04-12 11:00:00
6,PS 274,04/13/2018,10:00-11:00AM,1906,11:00:00,2018-04-13 11:00:00
6,PS 274,04/14/2018,10:00-11:00AM,2066,11:00:00,2018-04-14 11:00:00
6,PS 274,04/15/2018,10:00-11:00AM,1625,11:00:00,2018-04-15 11:00:00
6,PS 274,09/09/2017,10:00-11:00AM,2774,11:00:00,2017-09-09 11:00:00
6,PS 274,09/10/2017,10:00-11:00AM,2338,11:00:00,2017-09-10 11:00:00
6,PS 274,09/11/2017,10:00-11:00AM,2684,11:00:00,2017-09-11 11:00:00
6,PS 274,09/12/2017,10:00-11:00AM,2682,11:00:00,2017-09-12 11:00:00
6,PS 274,09/13/2017,10:00-11:00AM,2596,11:00:00,2017-09-13 11:00:00
6,PS 274,09/14/2017,10:00-11:00AM,2625,11:00:00,2017-09-14 11:00:00
6,PS 274,09/15/2017,10:00-11:00AM,2673,11:00:00,2017-09-15 11:00:00
6,PS 274,09/16/2017,10:00-11:00AM,2852,11:00:00,2017-09-16 11:00:00
6,PS 274,09/17/2017,10:00-11:00AM,2345,11:00:00,2017-09-17 11:00:00
6,PS 274,09/23/2017,10:00-11:00AM,4313,11:00:00,2017-09-23 11:00:00
6,PS 274,09/24/2017,10:00-11:00AM,3669,11:00:00,2017-09-24 11:00:00
6,PS 274,09/25/2017,10:00-11:00AM,3938,11:00:00,2017-09-25 11:00:00
6,PS 274,09/26/2017,10:00-11:00AM,3967,11:00:00,2017-09-26 11:00:00
6,PS 274,09/27/2017,10:00-11:00AM,3765,11:00:00,2017-09-27 11:00:00
6,PS 274,09/28/2017,10:00-11:00AM,4009,11:00:00,2017-09-28 11:00:00
6,PS 274,09/29/2017,10:00-11:00AM,4288,11:00:00,2017-09-29 11:00:00
6,PS 274,09/30/2017,10:00-11:00AM,6041,11:00:00,2017-09-30 11:00:00
6,PS 274,10/01/2017,10:00-11:00AM,5248,11:00:00,2017-10-01 11:00:00
6,PS 274,10/02/2017,10:00-11:00AM,1912,11:00:00,2017-10-02 11:00:00
6,PS 274,10/03/2017,10:00-11:00AM,1903,11:00:00,2017-10-03 11:00:00
6,PS 274,10/04/2017,10:00-11:00AM,1802,11:00:00,2017-10-04 11:00:00
6,PS 274,10/05/2017,10:00-11:00AM,1867,11:00:00,2017-10-05 11:00:00
6,PS 274,10/06/2017,10:00-11:00AM,1952,11:00:00,2017-10-06 11:00:00
6,PS 274,10/07/2017,10:00-11:00AM,2881,11:00:00,2017-10-07 11:00:00
6,PS 274,10/08/2017,10:00-11:00AM,2020,11:00:00,2017-10-08 11:00:00
6,PS 274,10/09/2017,10:00-11:00AM,812,11:00:00,2017-10-09 11:00:00
6,PS 274,10/10/2017,10:00-11:00AM,1030,11:00:00,2017-10-10 11:00:00
6,PS 274,10/11/2017,10:00-11:00AM,878,11:00:00,2017-10-11 11:00:00
6,PS 274,10/12/2017,10:00-11:00AM,946,11:00:00,2017-10-12 11:00:00
6,PS 274,10/13/2017,10:00-11:00AM,968,11:00:00,2017-10-13 11:00:00
6,PS 274,10/14/2017,10:00-11:00AM,885,11:00:00,2017-10-14 11:00:00
6,PS 274,10/15/2017,10:00-11:00AM,732,11:00:00,2017-10-15 11:00:00
6,PS 274,10/28/2017,10:00-11:00AM,1108,11:00:00,2017-10-28 11:00:00
6,PS 274,10/29/2017,10:00-11:00AM,1057,11:00:00,2017-10-29 11:00:00
6,PS 274,10/30/2017,10:00-11:00AM,1150,11:00:00,2017-10-30 11:00:00
6,PS 274,10/31/2017,10:00-11:00AM,1170,11:00:00,2017-10-31 11:00:00
6,PS 274,11/01/2017,10:00-11:00AM,1132,11:00:00,2017-11-01 11:00:00
6,PS 274,11/02/2017,10:00-11:00AM,1134,11:00:00,2017-11-02 11:00:00
6,PS 274,11/03/2017,10:00-11:00AM,1254,11:00:00,2017-11-03 11:00:00
6,PS 274,11/04/2017,10:00-11:00AM,2537,11:00:00,2017-11-04 11:00:00
6,PS 274,11/05/2017,10:00-11:00AM,2572,11:00:00,2017-11-05 11:00:00
6,PS 274,11/06/2017,10:00-11:00AM,1459,11:00:00,2017-11-06 11:00:00
6,PS 274,11/07/2017,10:00-11:00AM,1562,11:00:00,2017-11-07 11:00:00
